Atoms,Orbital,Embeddings
S,1s,"[-0.16700491  0.23500986 -0.3371066  -0.00725868  0.2990367  -0.79845625
 -0.37163845  0.31169268 -0.05749382  0.45200992  0.14112541 -0.57653785
 -0.5132279   0.13983116  0.19338764 -0.02368779 -0.24835148  0.47231838
  0.5711973  -0.0917884  -0.07316834 -1.1388564   0.41443443  0.03646039
  0.3522277  -0.6489328  -0.07103407  0.2460359   0.6722058   0.25609827]"
Si,2p,"[-0.40981013  0.38914648  0.01330356  0.06540322 -0.29808345  0.73360974
  0.60250986  0.02517634  0.83467644  0.0165968  -0.36247164  0.21608837
  0.8816407  -0.64804125  0.19577886 -0.82259864 -0.12640467 -0.4074629
  0.87146944  0.26761737 -0.46348226 -0.8053369  -0.7743916  -0.01326357
 -0.18634646 -0.59912765  0.8139295   0.7928565   0.4457096   0.4218982 ]"
Al,2p3/2,"[-0.12041336  0.5722002  -0.5663575   0.15947104 -0.25101793  1.1426525
 -0.02779576 -0.8257426   0.5900757  -0.5400924   0.4101087  -0.11974444
 -1.0034711  -0.16101126  0.32381043 -0.137652    0.52706563 -0.32623202
 -0.0708284  -0.06416506  0.21883674 -0.12327043 -0.59939677  0.4403536
 -0.09189631 -0.2550509   0.96710205  0.13610256  0.38993967  0.43921688]"
Ar,2p3/2,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
As,2p3/2,"[-0.880535   -0.18752626  0.16856124 -0.03302502  0.46079853  0.7672251
  0.04461806  0.50512546 -0.4525071   0.4352761  -0.90857476 -0.91107965
  0.1748472   0.09251296 -0.06402036  0.07471279  0.6500809   0.10950307
  1.1903975   0.21769628  0.8184277  -0.38367748 -0.4580892   0.49359223
  1.0940279   0.82278913  0.03946091  1.116414    0.1255422   0.18201153]"
Ca,2p3/2,"[ 0.00839441 -0.69190824  1.2638412   0.29664066 -0.5729712   0.30384976
 -0.01665307 -0.37054428  0.00896708 -0.10953605 -0.765038   -0.5320293
 -0.22810367 -0.00160672  0.11773062  0.21316294  0.14780225  0.7855033
  0.33444858  0.09344906  1.2687749   0.30835864  0.51519233 -0.7324697
 -0.04979028 -1.0825465   0.44873714 -1.163461    0.61624235 -0.3559919 ]"
Cl,2p3/2,"[-0.10508675  0.01925209 -0.2513919   0.10100059  0.17030016 -0.52479786
 -0.5874914   0.33373535 -0.4818024  -0.01297175  0.32930818 -0.06309994
 -0.40444836 -0.0240541   0.10596122 -0.2139445  -0.05917617 -0.45811394
 -0.2300048  -0.35347793 -0.05052086 -0.27376556 -0.15743507  0.15264094
  0.03933673 -0.5779509  -0.3849062   0.646565    0.11263525 -0.54345304]"
Co,2p3/2,"[-0.14512977 -0.28582755 -0.88882834 -0.3185342   0.8636012  -0.33375877
  0.39816955 -0.5023585   1.3217033  -0.08192471  1.11229     0.1016027
  1.021283   -0.00289892  0.82399076  0.48600277 -0.38430378  0.90252125
 -0.1351097  -0.29942718  0.5792829  -0.11698006 -0.9044221  -0.13745792
 -0.19204019  0.51884586  0.16513771 -0.4256165   0.45165074  0.05883593]"
Cr,2p3/2,"[-1.8737170e-01 -1.1635101e-01 -1.1350172e-01  7.1109611e-01
  5.5986607e-01 -3.8976457e-02  4.2311144e-01 -1.7550678e+00
  5.2798587e-01  2.1527546e-02  4.5334733e-01 -2.9231936e-01
  4.3785310e-01 -2.6267794e-01  3.8511309e-04  1.7265360e-01
  5.4640019e-01  6.2201172e-01 -2.9046327e-01  9.1208196e-01
  8.9720845e-01 -4.4786178e-02  2.2139630e-01 -4.2582425e-01
 -8.5523087e-01 -1.5718162e-02 -8.5182250e-02  1.0199050e-01
 -2.7454123e-01  1.2957792e+00]"
Cu,2p3/2,"[-0.8295199  -0.73856086 -0.31420434 -0.2606482  -0.24477892  0.35801378
  0.10841326  0.43214786 -0.44413418  0.30333078  0.82294834  0.33822215
 -0.08455428  0.25737217  0.64166945  0.39360797  0.35761625  0.09884139
  0.46338454 -0.47632706  0.91074234 -0.6070752   0.08793645  0.10119018
 -0.8791724   0.3015016   0.08682672 -0.415997    0.37609792  0.6461942 ]"
Fe,2p3/2,"[-0.3210306  -0.18025503 -0.563341    0.02068709  0.88999724  0.08127699
 -0.54442376 -0.7563477   1.0585179   0.26004148  0.6352024  -0.6343183
  0.7263392  -0.3416889   0.25100496  0.8077183   0.08159591 -0.3693615
 -0.3722756  -0.40608507 -0.17207909 -0.5360327  -0.40453845 -0.33818644
  0.70358676  0.06028653  0.53508985 -0.16854407 -0.62436676  1.0549009 ]"
K,2p3/2,"[-1.1704565e+00 -3.1439203e-01  1.1366699e+00  7.0044279e-01
 -1.0901457e-03 -6.0467607e-01  1.1138072e-02 -2.2518200e-01
  3.4512559e-01  1.4090221e+00 -4.7246355e-01 -4.7961798e-01
 -7.0748590e-02 -1.1474177e-01  6.3713181e-01  5.6246799e-01
  4.2741278e-01  3.5947824e-01 -1.7733300e-01 -2.5446630e-01
 -2.2525476e-02  8.1504816e-01 -1.5058076e-01 -1.6857563e-01
 -4.3287948e-01 -1.5114443e-01 -1.0012290e+00 -5.0619018e-01
 -9.1975933e-01  5.8173101e-02]"
Mg,2p3/2,"[-0.8592068  -0.03446504  0.10278597  0.03529927 -0.28445882  0.10929574
  0.69033515 -0.38848037  0.2965535  -0.12026945 -0.48250017  0.32345262
 -0.58125925 -0.23145138  0.33952186 -0.18938348  0.5321389  -0.07649539
  0.42420763  0.6419418  -0.02729225 -0.78009844 -0.9346742   0.47012374
  0.28358275 -0.7816289   0.33197808 -1.1895189   0.2931122  -0.02343534]"
Mn,2p3/2,"[ 0.19634548 -0.22213405 -0.4530939   0.41484034  0.18249828  0.33840412
 -0.11849321 -0.93305707 -0.38933372 -0.01883397 -0.1558707  -0.553559
  0.6989818  -0.5115707   0.0659463   0.09336994 -0.11266642  0.317507
  0.44203424 -0.9021431   0.61421585  0.3922759  -1.0213132  -0.7744679
 -0.25301066 -0.07266228  0.7328555  -0.67901164  0.50397694  0.6270648 ]"
Ni,2p3/2,"[ 0.87504256 -0.67802346 -0.8381107   0.45683038  0.7160646  -0.2307209
  0.63239    -0.4167713   0.44465703  0.2876319   0.25109586 -0.2392422
  0.21236175  0.88241434 -0.51447904  0.58940643 -0.03582207  0.20136474
  0.87094784  0.0036402   0.68295985 -0.618044   -1.138233   -0.05842797
 -0.13798176 -0.39467695 -0.28263092 -0.39112473 -0.17283428  0.5541834 ]"
P,2p3/2,"[-0.06231216  0.0781383   0.8537959  -0.16678254  1.1030515   0.22938567
 -0.2718263   0.19200073  0.14347687  0.58394134 -0.55222934 -0.17312731
  0.17546067 -0.71722746 -0.6482529  -0.11954014  0.05318574 -0.2545409
  0.17906947 -0.5904659   0.8365401  -0.85686725 -0.54120815  0.24422614
 -0.7727873  -0.15015878  0.16786958  0.5344274   0.43017864  0.12225813]"
S,2p3/2,"[-0.16700491  0.23500986 -0.3371066  -0.00725868  0.2990367  -0.79845625
 -0.37163845  0.31169268 -0.05749382  0.45200992  0.14112541 -0.57653785
 -0.5132279   0.13983116  0.19338764 -0.02368779 -0.24835148  0.47231838
  0.5711973  -0.0917884  -0.07316834 -1.1388564   0.41443443  0.03646039
  0.3522277  -0.6489328  -0.07103407  0.2460359   0.6722058   0.25609827]"
Se,2p3/2,"[-1.6204678e-01  4.5785975e-01 -6.1457086e-01  5.2490991e-01
 -2.3341213e-01 -1.1977265e+00 -2.4431981e-01  7.8126496e-01
 -2.7709329e-01  2.8377801e-01  3.8102821e-01  2.3956881e-01
  1.7798586e-01 -5.8920711e-01 -2.3562655e-01 -9.4674036e-02
  8.5972440e-01  2.8095755e-01 -2.6203020e-02 -3.7080193e-01
  7.8576163e-04 -1.0251188e+00 -4.9563399e-01  4.3563420e-01
  1.8014224e-01 -2.7887031e-01 -6.5551609e-02  3.0079165e-01
 -4.0156964e-02 -2.0397417e-01]"
Si,2p3/2,"[-0.40981013  0.38914648  0.01330356  0.06540322 -0.29808345  0.73360974
  0.60250986  0.02517634  0.83467644  0.0165968  -0.36247164  0.21608837
  0.8816407  -0.64804125  0.19577886 -0.82259864 -0.12640467 -0.4074629
  0.87146944  0.26761737 -0.46348226 -0.8053369  -0.7743916  -0.01326357
 -0.18634646 -0.59912765  0.8139295   0.7928565   0.4457096   0.4218982 ]"
Ti,2p3/2,"[-0.6776401   0.34094194  0.33386448  0.3175147  -0.1292866   0.19439474
 -0.07208089 -1.6281536   0.00614589  1.1742929  -0.735003   -0.02998548
 -0.08718976  0.30140346 -0.15055746  0.23157701  0.80401164  0.6426757
 -0.43797627 -0.12886752 -0.23970765 -0.28131428 -0.77478385 -1.319229
 -0.46946412  0.41229254  0.03226507 -0.19031967  0.482426   -0.1668243 ]"
V,2p3/2,"[-0.19392331 -0.60625     0.5392772   1.2217695   1.0990701  -0.06222319
  0.35382688 -1.9839278   0.1951591  -0.42893136  0.07436886 -0.17061044
  0.28078526 -0.42431587 -0.14998792  0.0511958   0.2101854   0.76461595
  0.12897837 -0.3758025   0.2585784  -0.30707178  0.22624454 -0.04076669
  0.14287762  0.7503585   0.8870776  -0.29194182  0.7685495   0.40286413]"
Zn,2p3/2,"[ 0.2511854  -0.1017188   0.1273799  -0.4444911   0.7150457   0.6012529
  0.70784944  0.3250245   0.678362    0.6338882  -0.21012755  0.17399293
 -1.0111483  -0.11482576  0.37800172 -0.21531367  0.2419698   0.02242739
  0.13590088  0.27773502  0.53577495 -0.9879118   0.5735091  -1.0294687
  0.45139     0.263667    0.18872723 -0.52571094 -0.35679734 -0.244229  ]"
Ar,2s,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
Ca,2s,"[ 0.00839441 -0.69190824  1.2638412   0.29664066 -0.5729712   0.30384976
 -0.01665307 -0.37054428  0.00896708 -0.10953605 -0.765038   -0.5320293
 -0.22810367 -0.00160672  0.11773062  0.21316294  0.14780225  0.7855033
  0.33444858  0.09344906  1.2687749   0.30835864  0.51519233 -0.7324697
 -0.04979028 -1.0825465   0.44873714 -1.163461    0.61624235 -0.3559919 ]"
Cl,2s,"[-0.10508675  0.01925209 -0.2513919   0.10100059  0.17030016 -0.52479786
 -0.5874914   0.33373535 -0.4818024  -0.01297175  0.32930818 -0.06309994
 -0.40444836 -0.0240541   0.10596122 -0.2139445  -0.05917617 -0.45811394
 -0.2300048  -0.35347793 -0.05052086 -0.27376556 -0.15743507  0.15264094
  0.03933673 -0.5779509  -0.3849062   0.646565    0.11263525 -0.54345304]"
Mg,2s,"[-0.8592068  -0.03446504  0.10278597  0.03529927 -0.28445882  0.10929574
  0.69033515 -0.38848037  0.2965535  -0.12026945 -0.48250017  0.32345262
 -0.58125925 -0.23145138  0.33952186 -0.18938348  0.5321389  -0.07649539
  0.42420763  0.6419418  -0.02729225 -0.78009844 -0.9346742   0.47012374
  0.28358275 -0.7816289   0.33197808 -1.1895189   0.2931122  -0.02343534]"
Na,2s,"[-0.65072274 -1.280047    1.3007725   0.84111965  0.501759   -0.5968359
  0.437048    0.6321963   0.4259021   0.8714277  -0.61574936 -0.18245271
 -0.23473181 -0.21137947  0.15561058 -0.42071483  0.33444735  0.9430768
  0.23901014 -0.7143736  -0.07965194  0.32516137 -0.44749263 -0.46875176
 -0.43245152  0.01054838 -0.4891263  -0.81922966 -0.6563135  -0.11115199]"
Ne,2s,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
P,2s,"[-0.06231216  0.0781383   0.8537959  -0.16678254  1.1030515   0.22938567
 -0.2718263   0.19200073  0.14347687  0.58394134 -0.55222934 -0.17312731
  0.17546067 -0.71722746 -0.6482529  -0.11954014  0.05318574 -0.2545409
  0.17906947 -0.5904659   0.8365401  -0.85686725 -0.54120815  0.24422614
 -0.7727873  -0.15015878  0.16786958  0.5344274   0.43017864  0.12225813]"
S,2s,"[-0.16700491  0.23500986 -0.3371066  -0.00725868  0.2990367  -0.79845625
 -0.37163845  0.31169268 -0.05749382  0.45200992  0.14112541 -0.57653785
 -0.5132279   0.13983116  0.19338764 -0.02368779 -0.24835148  0.47231838
  0.5711973  -0.0917884  -0.07316834 -1.1388564   0.41443443  0.03646039
  0.3522277  -0.6489328  -0.07103407  0.2460359   0.6722058   0.25609827]"
As,3d,"[-0.880535   -0.18752626  0.16856124 -0.03302502  0.46079853  0.7672251
  0.04461806  0.50512546 -0.4525071   0.4352761  -0.90857476 -0.91107965
  0.1748472   0.09251296 -0.06402036  0.07471279  0.6500809   0.10950307
  1.1903975   0.21769628  0.8184277  -0.38367748 -0.4580892   0.49359223
  1.0940279   0.82278913  0.03946091  1.116414    0.1255422   0.18201153]"
Ge,3d,"[ 0.5058008   0.7348689  -0.21718408 -0.05595088 -0.5969223   0.45092514
  0.482056    0.3546486   0.26466882 -0.5361601  -0.22087525 -0.7082866
 -0.6418975  -1.035535    0.06044581 -0.02738721 -0.50996614  0.5902714
  0.01074497 -0.04808656  0.52930015 -1.2460215  -0.5949539  -0.3217214
 -0.06186998  0.60646594  0.20944461  1.1608789  -0.359438    0.24336354]"
Se,3d,"[-1.6204678e-01  4.5785975e-01 -6.1457086e-01  5.2490991e-01
 -2.3341213e-01 -1.1977265e+00 -2.4431981e-01  7.8126496e-01
 -2.7709329e-01  2.8377801e-01  3.8102821e-01  2.3956881e-01
  1.7798586e-01 -5.8920711e-01 -2.3562655e-01 -9.4674036e-02
  8.5972440e-01  2.8095755e-01 -2.6203020e-02 -3.7080193e-01
  7.8576163e-04 -1.0251188e+00 -4.9563399e-01  4.3563420e-01
  1.8014224e-01 -2.7887031e-01 -6.5551609e-02  3.0079165e-01
 -4.0156964e-02 -2.0397417e-01]"
Ag,3d5/2,"[-0.8481242  -0.8089347   0.48174053 -0.40533262 -0.02590539  0.35787186
 -0.06885489  0.24821034 -0.6204363  -0.8484355  -0.21880788  0.16693203
 -0.26605535 -0.53784287  1.3218884   0.38118997  0.31557983  0.12970392
  0.67217445 -0.2834737   0.05358418 -0.80752987  0.9666162   0.6023836
 -0.39475662 -0.15432224  0.2110677  -0.5748305  -1.4353833   1.0517524 ]"
Ba,3d5/2,"[-0.599164   -0.9040775   1.4906873   0.860932   -0.34018105 -0.03491898
 -0.08090455  0.75428253 -0.13580818  0.16141246 -0.56647867  0.03095417
 -0.21310744 -0.09167393  0.5020301   0.6046871   0.0653576   1.1419156
 -0.2412822  -0.22765136  0.17381832  1.0795453  -0.10864636 -0.60004544
 -0.8320511  -0.18249284  1.0283072  -0.7579253  -0.02882657  0.46385473]"
Br,3d5/2,"[-0.0325392  -0.04456    -0.4235618   0.18625826 -0.14105898 -0.86541903
 -0.14267495  0.67755884 -0.54565114 -0.3821288   0.6186875  -0.17833793
  0.05503155 -0.23705788  0.5526909  -0.26272926  0.5562961  -0.34544152
 -0.02304076 -0.6712572  -0.05685606  0.02032538 -0.556308    0.42367047
  0.75912684 -0.47366226  0.04337718  0.6318945   0.02464842 -0.98091274]"
Cd,3d5/2,"[ 0.92661244 -0.373322   -0.18035465  0.1446749  -0.68215823  0.9620955
 -0.37867638  0.9558669   0.4878676  -0.14843477 -0.81662345 -0.1503803
 -0.6872444  -0.18450336 -0.07770785  0.7611609   0.28465718  0.37470397
  1.0204462  -1.0571246   0.3048404  -0.00190179  0.20287912  0.3972471
 -1.156968   -0.53680485 -0.7390401  -1.070458   -0.68393147 -0.00781465]"
Cs,3d5/2,"[-0.77948225 -0.9325828   1.6795201   1.532715   -0.34293234 -0.00775957
 -0.29421717 -0.42939728 -0.49617118  0.7703644  -0.07185712 -0.15510312
  0.30962458 -0.5853196   1.1231319   0.43714783  0.2109758   0.02634097
 -0.2019822   0.35392377  0.62613606  1.1156057   0.10847308  0.01474644
 -0.61530083  0.19294931 -1.5213329  -0.6260349   0.0496939   0.20076264]"
Ga,3d5/2,"[-0.4243234  -0.7212476  -1.1413587  -0.01696422 -0.30340144  0.8520161
 -0.37637857  0.17443791  0.9884337  -0.29991534 -0.64852655  0.33510694
 -0.19501093 -0.86721    -0.8921773  -0.7066174  -0.23944585  0.47448888
 -0.11262642 -0.03909159  0.46757844 -0.4663148   0.17507084 -0.36048472
 -0.05633131  0.41902104 -0.5452123   0.5168871  -0.15387088  0.17604065]"
I,3d5/2,"[-0.28647035 -0.25440428  0.02002241 -0.05151631  0.06520484  0.00567349
 -0.4399295   0.4233564  -0.3840045  -0.7680693   0.677177   -1.0579737
 -0.05023895  0.07485528  0.34572542 -0.32269922  0.6690843   0.37121582
  0.7864568  -1.0747256   0.3991079  -0.07661659 -0.35574144  0.10097077
  0.36375824 -1.3225819  -0.18585637  0.5102826  -0.07678538 -1.1664985 ]"
Kr,3d5/2,"[-1.5876207  -1.7111497   0.4604249   0.79925007  1.579516   -0.51627344
 -0.9033564  -1.6709877   1.2654569  -1.5824443   1.223402   -2.0324993
 -1.5782648   0.75330985 -0.31074423  1.4281751   1.264143   -1.7461776
  1.9531014  -1.2477015   0.9857874   1.8723038   0.28969362 -1.7074592
  1.5466259   1.8999306   1.2580382  -1.6150075  -1.5257397   1.6415528 ]"
Mo,3d5/2,"[-0.50101304 -0.0462389  -0.40431994  0.9544563   0.55206716  0.9809123
  1.1818808  -1.0103899   0.13791765  0.4879701   0.958185    0.17514536
  0.8870052  -0.15479276 -0.89137334  1.2610378   0.1230033   0.4557264
 -1.0283096  -0.11328183  0.09851886  0.2319082   0.18077725 -0.7907326
 -0.5842045   0.01155542 -0.09172216  0.70823926  0.2698962   0.87793565]"
Rh,3d5/2,"[ 0.55516595 -0.13508026 -0.43757364 -0.5646533   0.35074195  0.11937826
  0.23424393  0.0626292  -1.1636428  -0.331352    0.7122167   0.35787797
  0.40845755 -0.7437936  -0.17340262  0.78773123  0.17424382  0.7375202
  0.5905637   0.55428326 -0.6907477  -0.44417128  0.18866451 -0.731793
  0.6688456  -0.17308487  0.12493531 -1.1230379  -0.13544443  0.24569046]"
Sb,3d5/2,"[-0.8027389  -0.16811578 -1.2128887   0.2628458   0.80564225  0.5630871
 -0.0165319   0.5118041  -0.09601689 -0.695771   -0.82721347 -0.55753225
 -0.9802724  -0.38466334  0.22853345  0.1924925   0.08785398 -0.17245312
 -0.35959253 -0.4481006   0.7254751  -0.1630541   0.3240467  -0.33064184
 -0.12733427  0.2515955  -0.26109317  0.24125896  0.15653747 -0.34833273]"
Sn,3d5/2,"[-0.64672625  0.29132047 -0.5423209  -0.09800173  0.42685974  0.32403174
 -0.0069718   0.79093903  0.11620335 -0.17185757 -1.0650688   0.11994065
  0.974332    0.04732427  0.4332725  -0.7151362   0.02224693 -0.8363128
  0.45557415 -0.2878645   0.60399675 -1.0085874   0.6044165  -0.8466915
 -0.4699077   0.49217156 -0.14809237 -0.19121408  0.20234255 -0.21532112]"
Sr,3d5/2,"[-0.7273643  -0.5515841   1.2034985   0.4030687  -0.7675971   0.24639907
  0.01523985 -0.494186    0.22528747  0.21988997 -0.6092402  -0.35215497
  0.13444148 -0.28711075 -0.27067003  0.9915211   0.10962407  0.41917422
  0.16603577 -0.14984077  0.43679458  0.04506846  0.27030236 -0.06973876
 -0.3181737  -0.6424618   0.82187665 -1.0410528  -0.03458598 -1.0994035 ]"
Te,3d5/2,"[-0.4535957   0.02645757 -0.5677115   0.38519394  0.04516947 -0.13872834
  0.03476179  0.12904665 -0.49273968 -0.49492434  0.21018341 -0.67339003
 -0.06301269 -0.24600853  0.47562373 -0.6342587   1.1179355   0.63855535
  0.31606716 -1.1121943   0.1216967  -0.08251385 -0.05622132 -0.16839246
  0.5063502  -0.47468966 -0.50220984  0.83901227 -0.13427794  0.00327975]"
Xe,3d5/2,"[-1.1453048  -1.715546    1.1435703  -0.10289343  1.0366342  -1.2910216
 -0.84653956  0.08841752  1.6043609  -0.4031985  -1.9670552  -0.80938494
 -0.4510527  -0.58970404  2.398835    0.06992076  0.34452653 -0.40432715
  1.0081371  -0.691609   -0.03488582  1.1171253   0.1274791  -1.2710567
 -0.7637525   0.25188482  0.13465121  0.49461317 -0.46429944 -0.00911425]"
Zn,3d5/2,"[ 0.2511854  -0.1017188   0.1273799  -0.4444911   0.7150457   0.6012529
  0.70784944  0.3250245   0.678362    0.6338882  -0.21012755  0.17399293
 -1.0111483  -0.11482576  0.37800172 -0.21531367  0.2419698   0.02242739
  0.13590088  0.27773502  0.53577495 -0.9879118   0.5735091  -1.0294687
  0.45139     0.263667    0.18872723 -0.52571094 -0.35679734 -0.244229  ]"
Cd,3p,"[ 0.92661244 -0.373322   -0.18035465  0.1446749  -0.68215823  0.9620955
 -0.37867638  0.9558669   0.4878676  -0.14843477 -0.81662345 -0.1503803
 -0.6872444  -0.18450336 -0.07770785  0.7611609   0.28465718  0.37470397
  1.0204462  -1.0571246   0.3048404  -0.00190179  0.20287912  0.3972471
 -1.156968   -0.53680485 -0.7390401  -1.070458   -0.68393147 -0.00781465]"
Co,3p,"[-0.14512977 -0.28582755 -0.88882834 -0.3185342   0.8636012  -0.33375877
  0.39816955 -0.5023585   1.3217033  -0.08192471  1.11229     0.1016027
  1.021283   -0.00289892  0.82399076  0.48600277 -0.38430378  0.90252125
 -0.1351097  -0.29942718  0.5792829  -0.11698006 -0.9044221  -0.13745792
 -0.19204019  0.51884586  0.16513771 -0.4256165   0.45165074  0.05883593]"
Cu,3p,"[-0.8295199  -0.73856086 -0.31420434 -0.2606482  -0.24477892  0.35801378
  0.10841326  0.43214786 -0.44413418  0.30333078  0.82294834  0.33822215
 -0.08455428  0.25737217  0.64166945  0.39360797  0.35761625  0.09884139
  0.46338454 -0.47632706  0.91074234 -0.6070752   0.08793645  0.10119018
 -0.8791724   0.3015016   0.08682672 -0.415997    0.37609792  0.6461942 ]"
Ni,3p,"[ 0.87504256 -0.67802346 -0.8381107   0.45683038  0.7160646  -0.2307209
  0.63239    -0.4167713   0.44465703  0.2876319   0.25109586 -0.2392422
  0.21236175  0.88241434 -0.51447904  0.58940643 -0.03582207  0.20136474
  0.87094784  0.0036402   0.68295985 -0.618044   -1.138233   -0.05842797
 -0.13798176 -0.39467695 -0.28263092 -0.39112473 -0.17283428  0.5541834 ]"
Ti,3p,"[-0.6776401   0.34094194  0.33386448  0.3175147  -0.1292866   0.19439474
 -0.07208089 -1.6281536   0.00614589  1.1742929  -0.735003   -0.02998548
 -0.08718976  0.30140346 -0.15055746  0.23157701  0.80401164  0.6426757
 -0.43797627 -0.12886752 -0.23970765 -0.28131428 -0.77478385 -1.319229
 -0.46946412  0.41229254  0.03226507 -0.19031967  0.482426   -0.1668243 ]"
Br,3p3/2,"[-0.0325392  -0.04456    -0.4235618   0.18625826 -0.14105898 -0.86541903
 -0.14267495  0.67755884 -0.54565114 -0.3821288   0.6186875  -0.17833793
  0.05503155 -0.23705788  0.5526909  -0.26272926  0.5562961  -0.34544152
 -0.02304076 -0.6712572  -0.05685606  0.02032538 -0.556308    0.42367047
  0.75912684 -0.47366226  0.04337718  0.6318945   0.02464842 -0.98091274]"
Ca,3p3/2,"[ 0.00839441 -0.69190824  1.2638412   0.29664066 -0.5729712   0.30384976
 -0.01665307 -0.37054428  0.00896708 -0.10953605 -0.765038   -0.5320293
 -0.22810367 -0.00160672  0.11773062  0.21316294  0.14780225  0.7855033
  0.33444858  0.09344906  1.2687749   0.30835864  0.51519233 -0.7324697
 -0.04979028 -1.0825465   0.44873714 -1.163461    0.61624235 -0.3559919 ]"
