Atoms,Embeddings
Si,"[-0.32023418  0.5829954  -0.05355693  0.06187319 -0.3993066   0.9186841
  0.6813497   0.03606971  0.94795465 -0.11547764 -0.39413136  0.05503784
  0.68990517 -0.89459026  0.21289411 -0.8519015  -0.19466841 -0.32488784
  0.8763098   0.23761883 -0.31935024 -1.0818337  -0.9521298  -0.04178604
 -0.23102506 -0.5071029   0.9306257   1.0484498   0.4148662   0.5121632 ]"
Al,"[-0.19919926  0.49750093 -0.8073344   0.15029664 -0.29771227  1.4166954
 -0.03005282 -0.7826369   0.9013578  -0.6123605   0.245763   -0.0691544
 -1.0052284  -0.42341834  0.16527784 -0.35272196  0.49351478 -0.27440807
 -0.03064298 -0.04954629  0.28213608 -0.3098023  -0.6460378   0.35852718
 -0.13781452 -0.21405166  0.9324262   0.31049302  0.40911308  0.5197265 ]"
Ar,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
As,"[-0.9931948  -0.13848704  0.23141277 -0.02240827  0.7520049   0.9078491
  0.02363907  0.6303165  -0.44670475  0.49648315 -1.137298   -1.0605651
  0.13370863 -0.12855467 -0.16315165  0.04075363  0.69555265  0.07084271
  1.2813312   0.04646823  1.0861713  -0.6604749  -0.59383863  0.5316174
  0.9608112   0.8386546   0.06692728  1.3411847   0.22782446  0.19201791]"
Ca,"[-0.24615808 -0.83619416  1.6057787   0.42999035 -0.73974895  0.310999
  0.01679462 -0.50967586  0.08806983  0.03958787 -0.93733704 -0.62995046
 -0.2159656  -0.07640771  0.11811402  0.4458828   0.21420252  0.89431244
  0.3618403   0.05119698  1.3500965   0.3548429   0.53305596 -0.7494657
 -0.13036329 -1.2404293   0.5404217  -1.4453456   0.552874   -0.5724628 ]"
Cl,"[-0.19100821 -0.07429807 -0.36798543  0.1786658   0.23336928 -0.8146316
 -0.7225941   0.42509463 -0.5568644  -0.1409904   0.5202115  -0.2692707
 -0.523879    0.0023347   0.2327507  -0.21212488  0.08895645 -0.60322356
 -0.10252982 -0.543765   -0.03347266 -0.25569904 -0.21562648  0.16504699
  0.30381572 -0.62339497 -0.3106132   0.7474796   0.09326608 -0.666104  ]"
Co,"[ 0.03020398 -0.4516087  -1.1344341  -0.24396949  1.0974272  -0.37554336
  0.49656516 -0.65564144  1.4594464  -0.01619728  1.2546372   0.02534717
  1.1446958   0.12284921  0.7425223   0.704993   -0.38684094  0.94876105
  0.04092503 -0.31899387  0.69430774 -0.2979911  -1.1811765  -0.21407107
 -0.14870873  0.43398038  0.15911025 -0.5708916   0.36433667  0.2682429 ]"
Cr,"[-0.23109415 -0.25872687 -0.04061492  1.0315125   0.824823    0.00305137
  0.5242584  -2.294828    0.5661364  -0.05242515  0.50389147 -0.36288202
  0.59101146 -0.39266694 -0.04233618  0.23325565  0.59825426  0.82502306
 -0.2749086   0.7852053   1.0142117  -0.07631066  0.19290805 -0.5363748
 -0.8736202   0.13617757  0.13941023  0.02306659 -0.08390374  1.4776595 ]"
Cu,"[-0.69554573 -0.94723237 -0.4506381  -0.20797268 -0.09699158  0.37109616
  0.24280372  0.39307195 -0.3780357   0.31308904  0.84010637  0.30692214
 -0.10211053  0.3868848   0.64212537  0.54657114  0.3847559   0.1531572
  0.70861036 -0.5050925   1.07215    -0.8201699  -0.0506416   0.10930415
 -0.9416696   0.20833881  0.03953992 -0.5696017   0.21314111  0.8320643 ]"
Fe,"[-0.31651545 -0.2460167  -0.78032994 -0.02423272  1.1049204   0.03355648
 -0.4756724  -0.9755765   1.2997056   0.2383961   0.8685393  -0.62065846
  0.99226886 -0.38694334  0.4202303   0.9335678  -0.00375148 -0.14109041
 -0.3378049  -0.5255486  -0.02135947 -0.5342111  -0.6752305  -0.45644516
  0.65415853  0.14135593  0.61718774 -0.3168652  -0.52361375  1.1143807 ]"
K,"[-1.3166367  -0.60631454  1.6725792   1.1324936   0.03801788 -0.56689894
  0.01983086 -0.3067117   0.38484704  1.5092257  -0.63816285 -0.56865513
 -0.04419903 -0.2322205   0.80928075  0.7028239   0.4040225   0.35488212
 -0.19620031 -0.289537    0.02930634  0.8265806  -0.19534558 -0.27363542
 -0.41587773 -0.14400265 -1.2328093  -0.75275475 -1.07693    -0.03981931]"
Mg,"[-0.783046   -0.19136381  0.31751508 -0.08031799 -0.19466792  0.28161302
  0.57832813 -0.48457277  0.42817482  0.08863141 -0.42971355  0.24898586
 -0.76496047 -0.38831365  0.21915084 -0.1985624   0.66660124 -0.06431803
  0.5816691   0.5224558   0.24574643 -0.6710803  -1.0392474   0.2951076
  0.1067827  -0.7550926   0.42235622 -1.2377032   0.5671038  -0.07510222]"
Mn,"[ 1.2657027e-01 -2.6114619e-01 -5.1493794e-01  5.6862545e-01
  3.9926350e-01  3.3993921e-01 -4.8451565e-02 -1.3900894e+00
 -1.6852303e-01  3.4484733e-03  3.0385196e-02 -6.3757831e-01
  8.7585890e-01 -5.7889259e-01  9.0773605e-02  2.1393836e-01
 -9.0081245e-04  4.4918269e-01  3.5890850e-01 -7.5698280e-01
  7.7097130e-01  3.4835723e-01 -1.0411543e+00 -9.1541779e-01
 -3.9629841e-01 -5.2715722e-02  7.5993454e-01 -6.6201580e-01
  3.9335510e-01  9.8004413e-01]"
Ni,"[ 0.7479061  -0.9349228  -1.027398    0.39619184  0.7698794  -0.181749
  0.7216244  -0.36722985  0.42316556  0.3387894   0.5316905  -0.16250381
  0.2641974   0.9587899  -0.33163297  0.7808112   0.01749821  0.28943437
  1.0447176  -0.11396382  0.94281834 -0.82911307 -1.2336435  -0.07035863
 -0.33004355 -0.34664133 -0.2538163  -0.5877819  -0.13958433  0.7788725 ]"
P,"[-0.26765278  0.09207863  0.8717978  -0.17224173  1.1807098   0.42058855
 -0.22461244  0.30835393  0.11295488  0.6769129  -0.7627171  -0.37655652
  0.24296291 -0.77195454 -0.64408183 -0.17534372  0.1559654  -0.24015641
  0.49365056 -0.52673465  0.9774223  -1.055007   -0.704184    0.34592435
 -0.5627603  -0.05036062  0.24228963  0.85490507  0.50775605  0.20033783]"
S,"[-0.20494097  0.32787034 -0.41324592  0.08928488  0.34099674 -1.048097
 -0.46607223  0.49776983 -0.12562637  0.54982305  0.19352168 -0.5527105
 -0.4798057  -0.02560101  0.10769224 -0.06216015 -0.07365292  0.49307513
  0.5711436  -0.21866862 -0.01588134 -1.4164771   0.26658154  0.15242642
  0.34387827 -0.73778194 -0.0783544   0.37253642  0.698418    0.19975372]"
Se,"[-0.28454274  0.49677694 -0.69912654  0.5536981  -0.12457486 -1.3814603
 -0.3467224   0.93162715 -0.34971678  0.39801517  0.38041738  0.03379463
  0.08578065 -0.5928829  -0.1965509  -0.10924786  0.92961943  0.37553293
  0.19274543 -0.44110677  0.06446723 -1.3268629  -0.492161    0.50271386
  0.36469102 -0.38013625 -0.07683324  0.4785423   0.09922157 -0.1748363 ]"
Si,"[-0.32023418  0.5829954  -0.05355693  0.06187319 -0.3993066   0.9186841
  0.6813497   0.03606971  0.94795465 -0.11547764 -0.39413136  0.05503784
  0.68990517 -0.89459026  0.21289411 -0.8519015  -0.19466841 -0.32488784
  0.8763098   0.23761883 -0.31935024 -1.0818337  -0.9521298  -0.04178604
 -0.23102506 -0.5071029   0.9306257   1.0484498   0.4148662   0.5121632 ]"
Ti,"[-0.71224254  0.16120426  0.5523757   0.56475973  0.02697875  0.19844127
  0.08034264 -2.1995544   0.03915352  1.1089847  -0.7117179  -0.08156551
  0.04124437  0.20862976 -0.21784332  0.23812513  0.8389362   0.7684678
 -0.48858207 -0.26031888 -0.19244581 -0.36232883 -0.7030306  -1.370351
 -0.37508523  0.5977545   0.16665433 -0.25333387  0.69921005 -0.0994096 ]"
V,"[-0.26762506 -0.6808254   0.6477194   1.5386914   1.2717426  -0.02809724
  0.4893603  -2.6514688   0.3562481  -0.41208446  0.20317926 -0.22171059
  0.47203943 -0.5096401  -0.14956313  0.10725043  0.4084698   0.9885081
 -0.03451607 -0.18224852  0.5382354  -0.34755138  0.26086956 -0.2927722
 -0.04289646  0.836502    0.89511085 -0.23644875  0.81728214  0.7424556 ]"
Zn,"[ 0.37986913 -0.24244133 -0.01070184 -0.4211103   0.54377806  0.878306
  0.61016154  0.5353044   0.84294736  0.5823973  -0.3994246   0.1760591
 -1.1765412  -0.2112493   0.31742066 -0.10454385  0.29496232  0.13317472
  0.34631062  0.04641241  0.660173   -1.0460087   0.6266307  -0.97108036
  0.18609762  0.19638756  0.01000725 -0.7101629  -0.49225813 -0.21241474]"
Ar,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
Ca,"[-0.24615808 -0.83619416  1.6057787   0.42999035 -0.73974895  0.310999
  0.01679462 -0.50967586  0.08806983  0.03958787 -0.93733704 -0.62995046
 -0.2159656  -0.07640771  0.11811402  0.4458828   0.21420252  0.89431244
  0.3618403   0.05119698  1.3500965   0.3548429   0.53305596 -0.7494657
 -0.13036329 -1.2404293   0.5404217  -1.4453456   0.552874   -0.5724628 ]"
Cl,"[-0.19100821 -0.07429807 -0.36798543  0.1786658   0.23336928 -0.8146316
 -0.7225941   0.42509463 -0.5568644  -0.1409904   0.5202115  -0.2692707
 -0.523879    0.0023347   0.2327507  -0.21212488  0.08895645 -0.60322356
 -0.10252982 -0.543765   -0.03347266 -0.25569904 -0.21562648  0.16504699
  0.30381572 -0.62339497 -0.3106132   0.7474796   0.09326608 -0.666104  ]"
Mg,"[-0.783046   -0.19136381  0.31751508 -0.08031799 -0.19466792  0.28161302
  0.57832813 -0.48457277  0.42817482  0.08863141 -0.42971355  0.24898586
 -0.76496047 -0.38831365  0.21915084 -0.1985624   0.66660124 -0.06431803
  0.5816691   0.5224558   0.24574643 -0.6710803  -1.0392474   0.2951076
  0.1067827  -0.7550926   0.42235622 -1.2377032   0.5671038  -0.07510222]"
Na,"[-0.8888129  -1.5163903   1.6559768   0.99257153  0.46271104 -0.5835242
  0.54601526  0.7680739   0.60726     0.96851844 -0.60726535 -0.46554294
 -0.28153083 -0.31334254  0.319767   -0.32963687  0.3662485   1.0294219
  0.21781226 -0.7949607  -0.05872461  0.33044732 -0.5106475  -0.5258095
 -0.4811374  -0.03415779 -0.50261164 -1.2245629  -0.59254956 -0.03683428]"
Ne,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
P,"[-0.26765278  0.09207863  0.8717978  -0.17224173  1.1807098   0.42058855
 -0.22461244  0.30835393  0.11295488  0.6769129  -0.7627171  -0.37655652
  0.24296291 -0.77195454 -0.64408183 -0.17534372  0.1559654  -0.24015641
  0.49365056 -0.52673465  0.9774223  -1.055007   -0.704184    0.34592435
 -0.5627603  -0.05036062  0.24228963  0.85490507  0.50775605  0.20033783]"
S,"[-0.20494097  0.32787034 -0.41324592  0.08928488  0.34099674 -1.048097
 -0.46607223  0.49776983 -0.12562637  0.54982305  0.19352168 -0.5527105
 -0.4798057  -0.02560101  0.10769224 -0.06216015 -0.07365292  0.49307513
  0.5711436  -0.21866862 -0.01588134 -1.4164771   0.26658154  0.15242642
  0.34387827 -0.73778194 -0.0783544   0.37253642  0.698418    0.19975372]"
As,"[-0.9931948  -0.13848704  0.23141277 -0.02240827  0.7520049   0.9078491
  0.02363907  0.6303165  -0.44670475  0.49648315 -1.137298   -1.0605651
  0.13370863 -0.12855467 -0.16315165  0.04075363  0.69555265  0.07084271
  1.2813312   0.04646823  1.0861713  -0.6604749  -0.59383863  0.5316174
  0.9608112   0.8386546   0.06692728  1.3411847   0.22782446  0.19201791]"
Ge,"[ 0.32220253  0.8605553  -0.37236068 -0.0606661  -0.5326339   0.65298676
  0.55727947  0.5654393   0.36070615 -0.6102577  -0.5356545  -0.75061524
 -0.44194865 -1.1563605   0.16175702 -0.23668256 -0.5206524   0.42632344
  0.20344877 -0.11061828  0.69920623 -1.6153991  -0.56908596 -0.5063817
 -0.16798644  0.7281258   0.2421194   1.2910988  -0.2987169   0.24230963]"
Se,"[-0.28454274  0.49677694 -0.69912654  0.5536981  -0.12457486 -1.3814603
 -0.3467224   0.93162715 -0.34971678  0.39801517  0.38041738  0.03379463
  0.08578065 -0.5928829  -0.1965509  -0.10924786  0.92961943  0.37553293
  0.19274543 -0.44110677  0.06446723 -1.3268629  -0.492161    0.50271386
  0.36469102 -0.38013625 -0.07683324  0.4785423   0.09922157 -0.1748363 ]"
Ag,"[-0.90036863 -1.0675473   0.35173172 -0.436786   -0.09877978  0.511207
 -0.03009458  0.4281647  -0.69319034 -0.8018003  -0.10690325  0.23892516
 -0.375257   -0.47250462  1.4529516   0.5792408   0.41224986  0.17174342
  0.93289053 -0.46051484  0.3087421  -1.0183752   0.9692911   0.6172434
 -0.6695138  -0.1683528   0.16705555 -0.8091861  -1.4866621   1.2426206 ]"
Ba,"[-0.8537012  -1.1849942   2.059021    1.1646547  -0.5670767   0.04573549
 -0.09454424  0.5732713  -0.12144049  0.28024188 -0.77819896 -0.10232321
 -0.15642372 -0.21950486  0.5813696   0.91278386  0.10611349  1.2634546
 -0.23760372 -0.23645009  0.37500083  1.2091165  -0.03094625 -0.67334217
 -0.949457   -0.34664774  1.0683955  -1.1356752  -0.03604709  0.2266216 ]"
Br,"[-0.37815627 -0.4033872  -0.34655058  0.35731176  0.19606987 -1.032976
 -0.3890096   0.38944587 -0.3279966  -0.7223995   0.8934763  -0.624063
 -0.2941057  -0.09809549  0.5284777  -0.0027498   0.8368526  -0.7195253
  0.38120547 -0.9882395   0.14715204  0.37239125 -0.5246136   0.08961177
  1.0781382  -0.17366624  0.26202938  0.379555   -0.2791161  -0.72811794]"
Cd,"[ 0.9332704  -0.42019287 -0.24498887  0.08233444 -0.64453006  1.1812456
 -0.20332184  1.143214    0.64479536 -0.10468168 -1.0049404  -0.1174832
 -0.9648555  -0.27224615  0.03767423  0.78697234  0.32392734  0.43053356
  1.1757219  -1.1377649   0.48094153 -0.3539816   0.4293266   0.18541294
 -1.2355889  -0.43121648 -0.79190063 -1.205032   -0.8672719  -0.05439508]"
Cs,"[-0.9415746  -1.1996793   2.2420068   1.9793406  -0.36502063  0.06412633
 -0.32603845 -0.50201577 -0.4929082   0.83745927 -0.23379765 -0.23035577
  0.34556174 -0.6995177   1.3224866   0.6715715   0.16795431  0.03312328
 -0.26429927  0.3454181   0.6805692   1.1903698   0.08479187 -0.09354667
 -0.6374327   0.19838993 -1.6494333  -0.8653091  -0.08424258  0.1370048 ]"
Ga,"[-0.48729017 -0.6376522  -1.3728617   0.01552249 -0.46721715  0.9997136
 -0.14592758  0.3742012   1.0962908  -0.42040852 -0.9433727   0.30127326
 -0.3728345  -0.9805208  -0.86142766 -0.6594018  -0.29584417  0.57209164
  0.07249598 -0.22883141  0.6566863  -0.90786535  0.3734627  -0.532956
 -0.32471612  0.6474128  -0.6768731   0.5891663  -0.26988995  0.09544499]"
I,"[-0.5376321  -0.60178494  0.19777332 -0.03981031  0.26683754 -0.3337772
 -0.62453586  0.49604315 -0.11473969 -0.89319164  0.34325102 -1.2562586
 -0.14211518 -0.0702935   0.87554634 -0.34092423  0.8223702   0.27861917
  1.0018376  -1.3008024   0.39486036  0.14272147 -0.37657228 -0.12854338
  0.2880258  -1.3157207  -0.16537233  0.67548615 -0.17745508 -1.236422  ]"
Kr,"[-1.7769227e+00 -1.9429737e+00  4.6858525e-01  8.7460488e-01
  1.7165359e+00 -8.5848272e-01 -1.0854135e+00 -1.5672070e+00
  1.3043940e+00 -1.7913630e+00  1.2898390e+00 -2.2678902e+00
 -1.6969401e+00  6.8990433e-01 -1.6413033e-03  1.4254454e+00
  1.4926461e+00 -1.9382249e+00  2.1378009e+00 -1.5544834e+00
  1.0275921e+00  2.0310633e+00  1.7758411e-01 -1.7889963e+00
  1.7336947e+00  1.8424798e+00  1.3144704e+00 -1.4712207e+00
 -1.6260784e+00  1.4533708e+00]"
Mo,"[-0.6121419  -0.19801587 -0.29979193  1.2360954   0.8206789   1.2546558
  1.4597688  -1.479249    0.31576476  0.6482941   1.2044553   0.25922567
  1.0297968  -0.2333409  -0.7998727   1.4622937   0.28531045  0.519602
 -1.1721944  -0.19965848 -0.04752829  0.40211305  0.15897307 -0.83894926
 -0.8958365   0.01744542 -0.0796928   1.0801655   0.28542918  1.1010376 ]"
Rh,"[ 0.72401834 -0.27581427 -0.62721115 -0.7292237   0.47758746  0.01423551
  0.31202596 -0.10517647 -1.3366152  -0.6018466   0.9533434   0.6341527
  0.46562594 -0.959201   -0.06785156  0.92503715  0.07202831  0.9886865
  0.8241875   0.71821135 -0.7268464  -0.53322595  0.02103274 -0.8668994
  0.67468995 -0.17701775  0.1754245  -1.5307727  -0.24266052  0.2286762 ]"
Sb,"[-0.9286317   0.07732444 -1.3127724   0.53896886  0.9826089   0.795981
  0.19328062  0.60035497 -0.2536862  -0.8401322  -1.016084   -0.71861446
 -0.9919038  -0.43279266  0.38414568  0.07151905  0.20020434 -0.17239931
 -0.15173835 -0.76265705  0.772601   -0.25219533  0.3574214  -0.36480084
 -0.33266586  0.20450127 -0.32695332  0.1974791   0.13542324 -0.47460395]"
Sn,"[-0.6276351   0.46719456 -0.7066296  -0.0523323   0.36367422  0.4924809
  0.13746232  0.93569946  0.1473438  -0.36487818 -1.2240883  -0.09188086
  0.7557231  -0.20652547  0.4876999  -0.7047247  -0.06769533 -0.73027366
  0.4761199  -0.39044765  0.7825854  -1.3316827   0.5447133  -0.95524687
 -0.56672704  0.65674525 -0.15490884  0.05453542  0.12533253 -0.2197426 ]"
Sr,"[-0.84037554 -0.81234205  1.6954681   0.592851   -0.94678617  0.31560534
  0.01739687 -0.5648792   0.23750408  0.25044304 -0.8602052  -0.49210435
  0.08836246 -0.32177475 -0.1857495   1.1541429   0.15510844  0.6664592
  0.20384648 -0.15905826  0.72069657  0.19922636  0.3635825  -0.27196595
 -0.39797676 -0.89981925  0.96636665 -1.414082    0.05388453 -1.1861848 ]"
Te,"[-0.6859466   0.06510595 -0.8748591   0.53702253  0.25016084 -0.07704711
  0.03499752  0.33830565 -0.57897794 -0.65483415  0.02988842 -0.86107886
 -0.25819728 -0.37989253  0.5620674  -0.6378331   1.256015    0.639448
  0.34271383 -1.336083    0.30267823 -0.23415951 -0.03654317 -0.20259818
  0.47960716 -0.48967773 -0.57754064  0.94323623 -0.10273248 -0.138319  ]"
Xe,"[-1.38775    -1.9702528   1.1963487  -0.03500295  1.2135577  -1.4295496
 -1.0493629   0.0820042   1.658596   -0.7228823  -1.7825172  -1.2355216
 -0.6058153  -0.556947    2.570262    0.09998939  0.6405741  -0.48881245
  1.3666425  -1.0852387   0.12384945  1.2863134   0.05711265 -1.4201435
 -0.5570594   0.11756071  0.19519812  0.5323034  -0.62026244 -0.1573457 ]"
Zn,"[ 0.37986913 -0.24244133 -0.01070184 -0.4211103   0.54377806  0.878306
  0.61016154  0.5353044   0.84294736  0.5823973  -0.3994246   0.1760591
 -1.1765412  -0.2112493   0.31742066 -0.10454385  0.29496232  0.13317472
  0.34631062  0.04641241  0.660173   -1.0460087   0.6266307  -0.97108036
  0.18609762  0.19638756  0.01000725 -0.7101629  -0.49225813 -0.21241474]"
Cd,"[ 0.9332704  -0.42019287 -0.24498887  0.08233444 -0.64453006  1.1812456
 -0.20332184  1.143214    0.64479536 -0.10468168 -1.0049404  -0.1174832
 -0.9648555  -0.27224615  0.03767423  0.78697234  0.32392734  0.43053356
  1.1757219  -1.1377649   0.48094153 -0.3539816   0.4293266   0.18541294
 -1.2355889  -0.43121648 -0.79190063 -1.205032   -0.8672719  -0.05439508]"
Co,"[ 0.03020398 -0.4516087  -1.1344341  -0.24396949  1.0974272  -0.37554336
  0.49656516 -0.65564144  1.4594464  -0.01619728  1.2546372   0.02534717
  1.1446958   0.12284921  0.7425223   0.704993   -0.38684094  0.94876105
  0.04092503 -0.31899387  0.69430774 -0.2979911  -1.1811765  -0.21407107
 -0.14870873  0.43398038  0.15911025 -0.5708916   0.36433667  0.2682429 ]"
Cu,"[-0.69554573 -0.94723237 -0.4506381  -0.20797268 -0.09699158  0.37109616
  0.24280372  0.39307195 -0.3780357   0.31308904  0.84010637  0.30692214
 -0.10211053  0.3868848   0.64212537  0.54657114  0.3847559   0.1531572
  0.70861036 -0.5050925   1.07215    -0.8201699  -0.0506416   0.10930415
 -0.9416696   0.20833881  0.03953992 -0.5696017   0.21314111  0.8320643 ]"
Ni,"[ 0.7479061  -0.9349228  -1.027398    0.39619184  0.7698794  -0.181749
  0.7216244  -0.36722985  0.42316556  0.3387894   0.5316905  -0.16250381
  0.2641974   0.9587899  -0.33163297  0.7808112   0.01749821  0.28943437
  1.0447176  -0.11396382  0.94281834 -0.82911307 -1.2336435  -0.07035863
 -0.33004355 -0.34664133 -0.2538163  -0.5877819  -0.13958433  0.7788725 ]"
Ti,"[-0.71224254  0.16120426  0.5523757   0.56475973  0.02697875  0.19844127
  0.08034264 -2.1995544   0.03915352  1.1089847  -0.7117179  -0.08156551
  0.04124437  0.20862976 -0.21784332  0.23812513  0.8389362   0.7684678
 -0.48858207 -0.26031888 -0.19244581 -0.36232883 -0.7030306  -1.370351
 -0.37508523  0.5977545   0.16665433 -0.25333387  0.69921005 -0.0994096 ]"
Br,"[-0.37815627 -0.4033872  -0.34655058  0.35731176  0.19606987 -1.032976
 -0.3890096   0.38944587 -0.3279966  -0.7223995   0.8934763  -0.624063
 -0.2941057  -0.09809549  0.5284777  -0.0027498   0.8368526  -0.7195253
  0.38120547 -0.9882395   0.14715204  0.37239125 -0.5246136   0.08961177
  1.0781382  -0.17366624  0.26202938  0.379555   -0.2791161  -0.72811794]"
Ca,"[-0.24615808 -0.83619416  1.6057787   0.42999035 -0.73974895  0.310999
  0.01679462 -0.50967586  0.08806983  0.03958787 -0.93733704 -0.62995046
 -0.2159656  -0.07640771  0.11811402  0.4458828   0.21420252  0.89431244
  0.3618403   0.05119698  1.3500965   0.3548429   0.53305596 -0.7494657
 -0.13036329 -1.2404293   0.5404217  -1.4453456   0.552874   -0.5724628 ]"
Cs,"[-0.9415746  -1.1996793   2.2420068   1.9793406  -0.36502063  0.06412633
 -0.32603845 -0.50201577 -0.4929082   0.83745927 -0.23379765 -0.23035577
  0.34556174 -0.6995177   1.3224866   0.6715715   0.16795431  0.03312328
 -0.26429927  0.3454181   0.6805692   1.1903698   0.08479187 -0.09354667
 -0.6374327   0.19838993 -1.6494333  -0.8653091  -0.08424258  0.1370048 ]"
Kr,"[-1.7769227e+00 -1.9429737e+00  4.6858525e-01  8.7460488e-01
  1.7165359e+00 -8.5848272e-01 -1.0854135e+00 -1.5672070e+00
  1.3043940e+00 -1.7913630e+00  1.2898390e+00 -2.2678902e+00
 -1.6969401e+00  6.8990433e-01 -1.6413033e-03  1.4254454e+00
  1.4926461e+00 -1.9382249e+00  2.1378009e+00 -1.5544834e+00
  1.0275921e+00  2.0310633e+00  1.7758411e-01 -1.7889963e+00
  1.7336947e+00  1.8424798e+00  1.3144704e+00 -1.4712207e+00
 -1.6260784e+00  1.4533708e+00]"
