Atoms,Embeddings
S,"[ 0.78110343 -0.02122594  0.33680683 -0.19429368 -0.24349947 -0.23256476
 -0.2007286   0.03985156 -0.02252966 -0.11876728 -0.56618804 -0.22951543
  0.3750652  -0.3603007  -0.7248      0.08192617  0.43352467  0.07429362
 -0.6363091  -0.25411877  0.39825618 -0.41680738  0.4322111  -0.68654615
 -0.2439424  -0.01102447  0.19033828 -0.04978802  0.23261689 -0.19946687]"
Si,"[ 0.13300914 -0.54921144  0.02975597 -0.9436437   0.34060064  0.10653517
  0.33728665  0.29499048 -0.07793504 -0.1470165  -0.76529926  0.18347426
  0.33197808 -0.06775006  1.6058254   0.35888878  0.14402634 -0.12939505
 -0.44871902  0.21255314  0.40713903 -0.67122316  1.1834534   0.834351
  0.2944819  -0.6160582  -0.3193949  -0.23294276 -0.00665116 -0.85073894]"
Al,"[ 0.37559327  0.06451531 -0.8090472  -0.7007664   0.5337858   0.23320752
  0.7639139  -0.00264825 -0.29725462  0.15511103  0.26458967 -0.42558882
  0.6945371   0.01505248 -0.01550169  0.252649    0.14047647  0.0394771
  0.9156006   0.6256352   0.49211627 -0.22078082  0.33113894  0.40309477
  0.13236335  0.17886327 -0.7906875  -0.22310689 -0.7476541  -0.30210257]"
Ar,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
As,"[ 1.103111    0.07283758 -0.35090292 -0.9364646   0.08351956 -0.7980946
 -0.41361555 -0.15371841 -1.2394544  -0.21851793 -0.13737522 -0.3537863
 -0.41116202  0.5471524   0.52327406  0.55820835 -0.35598695 -0.12680663
  0.4053249  -0.23856702  0.3346088  -0.19155854  0.0630843  -0.1936028
 -0.08393529 -1.458622    0.04522926  1.036803    1.1238538   0.01657934]"
Ca,"[ 0.228843    0.02351958 -0.06812588  0.17997923  0.9263944  -0.35340145
 -0.20754418 -1.4998518  -0.31760204 -0.1358372  -0.77383745 -0.66714734
  0.08260114  0.4405359  -0.0772417  -0.6106087  -0.9073537   0.4708027
 -0.86357474 -0.7282117   1.1283765   1.2648991   0.44717255  0.04412436
  1.0404524   0.40385836 -0.29587513 -0.01136386 -0.5092541   0.44488797]"
Cl,"[ 0.37241673  0.01388059 -0.32848778  0.23582223 -0.60394925 -0.3316943
 -0.08971246 -0.04587333  0.41716254  0.23186061 -0.01041277  0.32161304
 -0.05838376  0.3100722  -0.60924274  0.31241024  0.0277839  -0.13508272
  0.04320901  0.04403448 -0.39754543 -0.3017249  -0.40810132  0.02670667
 -0.09807543  0.13952455  0.20594713  0.01207996  0.3247252  -0.4760294 ]"
Co,"[-0.8842745  -0.81969476  1.0141048  -0.44608366 -0.09255332 -0.64409524
 -0.08097526  0.90968955  0.02956271 -1.0344976  -0.7170597  -0.66559154
  1.1541127  -0.17974572 -0.18307008 -0.82392466  0.7724529   0.05963195
  0.5363687   0.18659598  0.33956584 -0.5176042  -0.12075126  0.7327366
 -0.11064806  0.22330701 -0.11586025  0.3813558  -0.23155355  0.61032724]"
Cr,"[-0.51312315 -0.07322824 -0.22994453  0.39215508  0.52679825 -1.1491847
  0.99696136 -0.3295134  -0.2519277  -0.5160776   0.20173085 -0.5320538
  1.0508426  -0.50851256  0.8720963  -1.0338789   0.07045535 -0.89893055
 -0.08677215  0.3841924   1.5079896   0.17048508 -0.5695483  -0.02031573
  0.42010236 -0.8513209  -0.95870674 -0.13035336 -0.1270822   0.8530819 ]"
Cu,"[ 1.8080345e-01  5.5224445e-02  5.7896096e-01 -1.1831532e-02
 -8.3606958e-01  2.4280396e-01 -4.0084514e-01 -9.3412924e-01
 -5.1842886e-01 -2.6756972e-01  4.4250599e-01 -6.2110043e-01
  7.8587282e-01  3.4686401e-01 -1.0007353e-01 -2.1194193e-01
  2.6589724e-01 -6.2197709e-01  4.4853935e-01 -9.9688464e-01
  7.0864904e-01 -6.5734309e-01 -5.1966220e-02  8.4110582e-01
  3.9185560e-01 -6.5342975e-01 -3.8506393e-04 -3.2240269e-01
 -2.6927680e-01  4.1533983e-01]"
Fe,"[-7.95155585e-01  7.72758871e-02  3.49917933e-02 -1.40534270e+00
  3.89621526e-01  1.78800941e-01  2.76914209e-01  4.47853893e-01
 -4.32202995e-01 -2.79555678e-01  1.19606085e-01 -7.24054000e-04
  1.10002685e+00  1.58077359e-01 -1.37591884e-01 -8.12938392e-01
  7.72165775e-01 -5.60729623e-01 -3.02435130e-01  7.36099601e-01
  3.04297861e-02 -2.55043626e-01 -1.41979665e-01 -9.08089727e-02
  5.63865542e-01 -4.14556205e-01 -1.57750566e-02  8.17495286e-02
  4.82648551e-01  1.17923117e+00]"
K,"[-0.63407284  0.6342513   0.36933845  0.2367306   0.63808423 -1.5871384
 -0.110042   -0.58935684 -0.6563008  -0.74860936 -0.3196632  -0.00870541
  0.3910513   1.2024004  -0.10032629 -0.81283695 -1.1737837  -0.4028844
 -0.6369214  -0.83460283 -0.43275398  0.10151441 -0.5234972   0.10749352
 -0.24014843 -0.3744652  -0.01429236 -0.2057098  -0.2543762   0.08478091]"
Mg,"[ 0.49623957 -0.541495    0.49945366 -1.077652    1.392638    0.0552407
 -0.20378965 -0.25566432  0.37157014 -0.30224037 -0.35653636 -0.38048306
 -0.09673718  0.13436523 -0.19762321  0.5787097  -0.4182162  -0.09000902
 -0.15430458 -0.44320703  0.25475907 -0.42837813  0.26127386  0.56149143
  0.07403105 -0.16545506 -1.0301864   0.07483575 -1.1786735   0.11158448]"
Mn,"[-0.13386665 -0.77179784  0.06772632 -0.512652   -0.00816437 -0.4675476
 -0.23695344 -0.18697393 -0.32969248  0.52599233 -0.84611255 -0.98501354
  1.1086141   0.11236276  0.9003314  -0.82010937 -0.39785117  0.15682541
  0.47345403  0.32694715  0.22283478  0.37074506  0.24152343  0.17466126
  0.65186477  0.3287177   0.40979037  0.2019323  -0.12679787  0.8637401 ]"
Ni,"[-0.54731166 -0.9425188   0.60461116 -0.50316006  0.2087965  -0.80711764
 -0.500512   -0.42594576  0.8200318  -0.27132338  0.04309954 -0.2186753
  0.20804542 -0.3674737   0.04826986 -0.38182664  0.5067646   0.06850614
  1.1247479  -0.03033013  0.7699589   0.04184451  0.39959237 -0.60295594
  0.4440503  -0.8708534  -0.2476493  -0.3538673   0.31585848  0.7720518 ]"
P,"[ 0.08734648 -0.588088    1.055567   -0.5523883  -0.26044667 -0.27362704
  0.772903   -0.07871914 -0.3411677   0.50841707 -0.51713467  0.6182182
  0.9161378   0.55664593  0.28388444  0.23136526 -0.23134246 -0.41084045
 -0.04241143 -0.38909575  0.5669038   0.78497195  0.3317708  -0.03866508
  0.5159287  -0.47176895  0.01967873  0.482507    0.6785788  -0.64144886]"
S,"[ 0.78110343 -0.02122594  0.33680683 -0.19429368 -0.24349947 -0.23256476
 -0.2007286   0.03985156 -0.02252966 -0.11876728 -0.56618804 -0.22951543
  0.3750652  -0.3603007  -0.7248      0.08192617  0.43352467  0.07429362
 -0.6363091  -0.25411877  0.39825618 -0.41680738  0.4322111  -0.68654615
 -0.2439424  -0.01102447  0.19033828 -0.04978802  0.23261689 -0.19946687]"
Se,"[-0.32272246 -0.7836227  -0.60395986 -0.572515   -0.56254905 -0.4467392
 -0.62708014  0.38095003 -0.06831086  0.27276137 -0.7423086   0.5837481
 -0.44722834  0.03812782 -0.88785326 -0.08582619 -0.02671544 -0.89509404
 -0.02745455 -0.49717078  0.74835664 -0.8276341   0.04515938  0.1753434
  0.00617844  0.33457717  0.18245523  0.18616417 -0.04185503 -0.8441769 ]"
Si,"[ 0.13300914 -0.54921144  0.02975597 -0.9436437   0.34060064  0.10653517
  0.33728665  0.29499048 -0.07793504 -0.1470165  -0.76529926  0.18347426
  0.33197808 -0.06775006  1.6058254   0.35888878  0.14402634 -0.12939505
 -0.44871902  0.21255314  0.40713903 -0.67122316  1.1834534   0.834351
  0.2944819  -0.6160582  -0.3193949  -0.23294276 -0.00665116 -0.85073894]"
Ti,"[ 0.18524997 -0.979048    0.40664417  0.2814213   0.98243856 -0.146315
  0.47688526 -0.60446954 -0.42644653  0.32892102 -0.33285457 -0.55273813
  0.26996624  0.44408488  0.53844535 -1.4786228  -0.35997668 -1.2184051
 -0.17756584  0.47041008  0.17859921  0.13607815  0.31521857 -0.45821145
 -0.46652207 -0.49225414 -0.1702734   0.8347025  -1.146449   -0.14063752]"
V,"[-0.29931635  0.16535756  0.3766485  -0.4783323   1.2012564  -1.2734594
  0.8125262   0.09735644 -0.12393332  0.08280466 -0.3340795  -0.2222928
  1.0067146  -0.9515897   0.0044126  -0.7904748  -0.6373083   0.13643634
  0.1438113   0.7379455   0.7488201   0.69032925 -0.24266972  0.2520556
  0.28279242 -0.65207154  0.22948226  1.2841884  -0.3309376   0.8224234 ]"
Zn,"[-0.31951317 -0.38164467  0.83018845 -0.08987346  1.0668538   0.5061565
  0.3016322  -0.8405981  -0.8209875  -0.47824904  0.6990205  -0.5807503
 -0.28350505  0.03446323 -0.06879929  0.36135867  0.40131468  0.29326272
  0.01464072 -0.65494525  0.6284793   0.02905293  0.25327125 -0.4227326
 -0.47963512  0.56380385  0.14222686  0.6602143   0.45318106 -0.12058293]"
Ar,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
Ca,"[ 0.228843    0.02351958 -0.06812588  0.17997923  0.9263944  -0.35340145
 -0.20754418 -1.4998518  -0.31760204 -0.1358372  -0.77383745 -0.66714734
  0.08260114  0.4405359  -0.0772417  -0.6106087  -0.9073537   0.4708027
 -0.86357474 -0.7282117   1.1283765   1.2648991   0.44717255  0.04412436
  1.0404524   0.40385836 -0.29587513 -0.01136386 -0.5092541   0.44488797]"
Cl,"[ 0.37241673  0.01388059 -0.32848778  0.23582223 -0.60394925 -0.3316943
 -0.08971246 -0.04587333  0.41716254  0.23186061 -0.01041277  0.32161304
 -0.05838376  0.3100722  -0.60924274  0.31241024  0.0277839  -0.13508272
  0.04320901  0.04403448 -0.39754543 -0.3017249  -0.40810132  0.02670667
 -0.09807543  0.13952455  0.20594713  0.01207996  0.3247252  -0.4760294 ]"
Mg,"[ 0.49623957 -0.541495    0.49945366 -1.077652    1.392638    0.0552407
 -0.20378965 -0.25566432  0.37157014 -0.30224037 -0.35653636 -0.38048306
 -0.09673718  0.13436523 -0.19762321  0.5787097  -0.4182162  -0.09000902
 -0.15430458 -0.44320703  0.25475907 -0.42837813  0.26127386  0.56149143
  0.07403105 -0.16545506 -1.0301864   0.07483575 -1.1786735   0.11158448]"
Na,"[-0.78834355  0.31970048  0.3468558   0.3613043   0.5969929  -1.3881571
 -0.6056332  -0.52357864 -0.06724584 -1.0599312  -0.25886187  0.50112486
  0.26962313  1.3810886   0.12473901  0.36912763 -0.7092986  -0.97292465
 -1.0267818  -1.527472    0.34998775  0.93346596  0.6633721  -0.13085854
 -0.12565178 -0.02530206 -0.00459214  0.3769916  -0.26244882  0.7978839 ]"
Ne,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
P,"[ 0.08734648 -0.588088    1.055567   -0.5523883  -0.26044667 -0.27362704
  0.772903   -0.07871914 -0.3411677   0.50841707 -0.51713467  0.6182182
  0.9161378   0.55664593  0.28388444  0.23136526 -0.23134246 -0.41084045
 -0.04241143 -0.38909575  0.5669038   0.78497195  0.3317708  -0.03866508
  0.5159287  -0.47176895  0.01967873  0.482507    0.6785788  -0.64144886]"
S,"[ 0.78110343 -0.02122594  0.33680683 -0.19429368 -0.24349947 -0.23256476
 -0.2007286   0.03985156 -0.02252966 -0.11876728 -0.56618804 -0.22951543
  0.3750652  -0.3603007  -0.7248      0.08192617  0.43352467  0.07429362
 -0.6363091  -0.25411877  0.39825618 -0.41680738  0.4322111  -0.68654615
 -0.2439424  -0.01102447  0.19033828 -0.04978802  0.23261689 -0.19946687]"
As,"[ 1.103111    0.07283758 -0.35090292 -0.9364646   0.08351956 -0.7980946
 -0.41361555 -0.15371841 -1.2394544  -0.21851793 -0.13737522 -0.3537863
 -0.41116202  0.5471524   0.52327406  0.55820835 -0.35598695 -0.12680663
  0.4053249  -0.23856702  0.3346088  -0.19155854  0.0630843  -0.1936028
 -0.08393529 -1.458622    0.04522926  1.036803    1.1238538   0.01657934]"
Ge,"[ 0.26941788 -0.83722067 -0.5754651  -0.29512393  0.0661222  -0.0496003
  0.6353887   0.6205228  -1.1386889  -0.38615453  0.19092251  0.63577074
  0.19051966  0.3060134   0.8791546   0.46934423  0.37957788  0.7201502
  0.3911905  -0.31479964  0.7979058  -0.461927   -0.07752251 -0.8780126
  0.17228636  0.19703153  0.51152796 -0.06699521 -0.2782385  -0.548824  ]"
Se,"[-0.32272246 -0.7836227  -0.60395986 -0.572515   -0.56254905 -0.4467392
 -0.62708014  0.38095003 -0.06831086  0.27276137 -0.7423086   0.5837481
 -0.44722834  0.03812782 -0.88785326 -0.08582619 -0.02671544 -0.89509404
 -0.02745455 -0.49717078  0.74835664 -0.8276341   0.04515938  0.1753434
  0.00617844  0.33457717  0.18245523  0.18616417 -0.04185503 -0.8441769 ]"
Ag,"[ 0.2804593   0.46966234  0.40876657 -0.56856376 -0.65994424  1.0136353
 -0.4659701  -0.31092438 -1.2679552  -1.174508    0.40931413 -0.7532122
  0.51285887  0.02540455  0.5945528   0.41390544 -0.77294576 -0.5360767
 -0.44463238 -1.1967257  -0.18244255  0.19362311 -0.9320051   0.85350496
 -0.39497524 -0.11461896  0.40643463 -0.572845   -0.8072521   0.32554147]"
Ba,"[-0.18828262  0.02448422 -0.03269078  0.59717983  0.45631084 -0.08918423
 -0.32668608 -0.27472347 -0.75958425  0.6151215  -0.14140595  0.19186997
  0.32243836  1.1033273   0.29737943 -0.5231399  -1.0378889  -0.47543767
 -0.59257877 -1.3549404  -0.08736719  0.5714992   1.0930651   0.26720238
  0.2703687  -0.19328056  0.492187   -0.37078792 -0.90667516  1.5524101 ]"
Br,"[ 0.38501507  0.11732025 -0.8231     -0.30086154 -0.4072067  -0.43594414
 -0.70716035  0.39688537  0.5902443  -0.20364282  0.22043075  0.04663222
 -0.3136803   0.52190095 -0.5772685   0.4695158  -0.26035166 -0.29873082
  0.27973685  0.00804145 -0.5127692  -0.54109466 -0.2072906  -0.06400683
  0.34767896  0.20268188  0.33079785  0.45781603  0.262867   -0.28258505]"
Cd,"[-0.96949804  0.5444199  -0.20059694 -0.3492711   0.02040253  0.02219789
 -0.06324759 -1.1836367  -0.63563466 -0.07666562 -0.5588912   0.41185805
 -0.03869675 -0.23613456 -0.2772146   0.609578   -0.48340467  0.42458203
  1.1419257  -1.7396894   0.04496272  0.7601365   0.12406552 -0.7469624
  0.37443277 -0.16132829 -0.01411412 -1.3272023  -0.34213278 -0.19888838]"
Cs,"[ 0.18282227  0.64105594  0.25771403  0.8020052   0.8846029  -1.5452076
  0.10658445 -0.33156303 -0.15084633 -0.1543532   0.06957297  0.12829138
  0.04476913  1.305851    0.34584048 -1.1384327  -0.19947983 -0.5812682
 -0.12672101 -2.08644    -0.77284503  0.566972   -0.5335214   1.4198773
 -0.15713899 -0.45230556  0.33325347 -0.13184595 -0.1553903   0.5954409 ]"
Ga,"[-0.5483424  -0.2689787  -0.36292517  0.07028208 -0.2139468   0.07438063
  0.5329929  -1.1245979  -0.9989542  -0.30174595 -1.1972492   0.9157453
  0.02252286  0.17936191  0.89238197  0.8844421   1.193343    0.23815458
  0.30112052  0.17557369  0.02114466 -0.41147846 -0.33097976 -0.16637146
 -0.26071724 -0.1782961  -0.14371562  0.6001669  -0.18144324  0.27185658]"
I,"[ 0.28196877 -0.14290616 -1.6299474  -0.619512   -0.22772454  0.25952685
 -0.83043534 -0.71437925  1.0147053  -0.209485   -0.49227986 -0.1720017
  0.46186838  0.45653334 -0.69771594  0.3197464  -0.40010464 -0.5192309
  0.10894819 -0.5333806   0.07189544  0.20187347 -0.19296372 -0.20702884
  0.6778748   0.04662968  1.0327517   0.2504301   0.46135896 -0.5206837 ]"
Kr,"[-1.644868    1.9334538  -1.5516595   1.1915525   1.9310175  -1.8757588
 -2.1791036  -1.2741745  -1.843316   -1.6997668   1.7438393  -2.037509
  2.3400912   0.9225963   1.5365515   0.87274235  0.69243914  0.51385653
  1.9843924   0.8628547  -1.9218637   1.5686736   0.88207966  0.97436124
 -0.27050504 -1.7963183  -1.9670765   2.022826    1.2526025   1.9492601 ]"
Mo,"[-0.8355731  -0.33391976 -0.44679174  0.42621055 -0.16602273 -0.6059161
  1.5150129  -0.2872705   0.12107351  0.61707234  0.38456017  0.42567727
  0.6774567  -0.5419889   0.7261827  -1.6537532  -0.22738405 -0.3576354
 -0.18148641 -0.20384985  1.0461563  -0.6853082   0.49540094  0.4764815
 -0.41342655 -0.94721115 -0.35295627  0.5838765   0.03633636  1.1032492 ]"
Rh,"[-0.58595645 -0.11305166 -0.1323717  -0.08590405  0.09156153  1.0012223
 -0.80581456  0.36243215  0.6223756  -0.19213533  0.11887122 -0.45538753
 -0.372836   -1.2323259   0.37253046 -0.31120172 -0.35394868  0.1501073
 -0.2342928  -0.2437629   1.0705512  -0.00862028 -1.0002879  -0.3368167
 -0.18436123 -0.0347358  -0.01227255 -0.14865766  0.2069825   0.72827256]"
Sb,"[-7.8412160e-02 -8.4596640e-01 -8.2076263e-01  4.1569989e-02
 -7.0953357e-01 -2.3068790e-01  7.9331112e-01 -7.3558271e-01
 -1.1427494e+00  1.8746927e-01  2.0628405e-01 -4.4276828e-01
  6.3208646e-01 -4.8449907e-01 -4.4363913e-01  8.3146721e-01
  5.9050536e-01 -1.1636071e-01 -7.2209142e-02 -8.9838010e-01
 -5.0503254e-01 -5.8295481e-02 -4.8918933e-01 -4.7973803e-01
  2.0777854e-01 -4.1520312e-01 -3.2348093e-01  9.6696275e-01
 -7.4254848e-02  4.2266489e-04]"
Sn,"[-0.6793913  -0.22132689  0.67329794 -0.21097875 -0.5524868  -0.10582919
  0.14659497 -0.8769808  -0.7550149   0.2948823  -0.2930761  -1.0455832
 -0.20262402 -0.07992489  0.7275075   0.6616019   0.42776805 -0.36900333
 -0.47633561 -0.5625568  -0.6286793  -0.5684254   0.31626916 -0.03863014
  0.7642856   0.0202602  -0.2217983   0.9646363   0.6590904  -0.6730871 ]"
Sr,"[ 0.19048221 -0.09054184 -0.05214985  0.03211475  1.5044583   0.06925175
 -0.3089388  -0.9438045  -0.38504174  0.56098783 -0.79230756 -0.12156182
  0.0112202   0.32967448 -0.0594014  -0.84400755 -0.4691912  -0.38454035
 -0.66307795 -0.9588819   0.375835    0.9676032  -0.29648438  0.16575567
  0.9572256  -0.51502717  0.24329461 -0.18000929 -0.9817192  -0.07635314]"
Te,"[ 0.12026784 -0.11132738 -1.4762192  -0.40201133 -0.6391931  -0.51159924
 -0.21757343 -0.27928248  0.17840733 -0.74809283 -0.64498854 -0.28161898
  0.37391666  0.23390159 -0.13527921 -0.0663694  -0.3540254  -0.44375098
  0.47578165 -0.41027206  0.02795259 -0.3988074   0.22073248 -0.16218397
 -0.2560857   0.32607254  0.69421357  1.0294175   0.02342332 -0.33472553]"
Xe,"[ 0.603269   -0.02752901 -1.0272963   0.4673334   1.7036453  -4.0483255
 -0.6844837  -4.3749714  -3.291036   -2.1108582  -1.7705382   0.6578191
  1.6243137   2.7264001  -0.05429015 -0.6112513  -1.9054217   0.47512963
 -3.51972    -1.5245012  -3.7933843   0.5889413   1.4984124   2.596212
  1.2810893  -1.4167182  -0.9926314  -0.64837843  0.83037734  1.212904  ]"
Zn,"[-0.31951317 -0.38164467  0.83018845 -0.08987346  1.0668538   0.5061565
  0.3016322  -0.8405981  -0.8209875  -0.47824904  0.6990205  -0.5807503
 -0.28350505  0.03446323 -0.06879929  0.36135867  0.40131468  0.29326272
  0.01464072 -0.65494525  0.6284793   0.02905293  0.25327125 -0.4227326
 -0.47963512  0.56380385  0.14222686  0.6602143   0.45318106 -0.12058293]"
Cd,"[-0.96949804  0.5444199  -0.20059694 -0.3492711   0.02040253  0.02219789
 -0.06324759 -1.1836367  -0.63563466 -0.07666562 -0.5588912   0.41185805
 -0.03869675 -0.23613456 -0.2772146   0.609578   -0.48340467  0.42458203
  1.1419257  -1.7396894   0.04496272  0.7601365   0.12406552 -0.7469624
  0.37443277 -0.16132829 -0.01411412 -1.3272023  -0.34213278 -0.19888838]"
Co,"[-0.8842745  -0.81969476  1.0141048  -0.44608366 -0.09255332 -0.64409524
 -0.08097526  0.90968955  0.02956271 -1.0344976  -0.7170597  -0.66559154
  1.1541127  -0.17974572 -0.18307008 -0.82392466  0.7724529   0.05963195
  0.5363687   0.18659598  0.33956584 -0.5176042  -0.12075126  0.7327366
 -0.11064806  0.22330701 -0.11586025  0.3813558  -0.23155355  0.61032724]"
Cu,"[ 1.8080345e-01  5.5224445e-02  5.7896096e-01 -1.1831532e-02
 -8.3606958e-01  2.4280396e-01 -4.0084514e-01 -9.3412924e-01
 -5.1842886e-01 -2.6756972e-01  4.4250599e-01 -6.2110043e-01
  7.8587282e-01  3.4686401e-01 -1.0007353e-01 -2.1194193e-01
  2.6589724e-01 -6.2197709e-01  4.4853935e-01 -9.9688464e-01
  7.0864904e-01 -6.5734309e-01 -5.1966220e-02  8.4110582e-01
  3.9185560e-01 -6.5342975e-01 -3.8506393e-04 -3.2240269e-01
 -2.6927680e-01  4.1533983e-01]"
Ni,"[-0.54731166 -0.9425188   0.60461116 -0.50316006  0.2087965  -0.80711764
 -0.500512   -0.42594576  0.8200318  -0.27132338  0.04309954 -0.2186753
  0.20804542 -0.3674737   0.04826986 -0.38182664  0.5067646   0.06850614
  1.1247479  -0.03033013  0.7699589   0.04184451  0.39959237 -0.60295594
  0.4440503  -0.8708534  -0.2476493  -0.3538673   0.31585848  0.7720518 ]"
Ti,"[ 0.18524997 -0.979048    0.40664417  0.2814213   0.98243856 -0.146315
  0.47688526 -0.60446954 -0.42644653  0.32892102 -0.33285457 -0.55273813
  0.26996624  0.44408488  0.53844535 -1.4786228  -0.35997668 -1.2184051
 -0.17756584  0.47041008  0.17859921  0.13607815  0.31521857 -0.45821145
 -0.46652207 -0.49225414 -0.1702734   0.8347025  -1.146449   -0.14063752]"
Br,"[ 0.38501507  0.11732025 -0.8231     -0.30086154 -0.4072067  -0.43594414
 -0.70716035  0.39688537  0.5902443  -0.20364282  0.22043075  0.04663222
 -0.3136803   0.52190095 -0.5772685   0.4695158  -0.26035166 -0.29873082
  0.27973685  0.00804145 -0.5127692  -0.54109466 -0.2072906  -0.06400683
  0.34767896  0.20268188  0.33079785  0.45781603  0.262867   -0.28258505]"
Ca,"[ 0.228843    0.02351958 -0.06812588  0.17997923  0.9263944  -0.35340145
 -0.20754418 -1.4998518  -0.31760204 -0.1358372  -0.77383745 -0.66714734
  0.08260114  0.4405359  -0.0772417  -0.6106087  -0.9073537   0.4708027
 -0.86357474 -0.7282117   1.1283765   1.2648991   0.44717255  0.04412436
  1.0404524   0.40385836 -0.29587513 -0.01136386 -0.5092541   0.44488797]"
Cs,"[ 0.18282227  0.64105594  0.25771403  0.8020052   0.8846029  -1.5452076
  0.10658445 -0.33156303 -0.15084633 -0.1543532   0.06957297  0.12829138
  0.04476913  1.305851    0.34584048 -1.1384327  -0.19947983 -0.5812682
 -0.12672101 -2.08644    -0.77284503  0.566972   -0.5335214   1.4198773
 -0.15713899 -0.45230556  0.33325347 -0.13184595 -0.1553903   0.5954409 ]"
